  ('AI-1000', 'Air India', 'Mumbai', 'Delhi', NOW() + INTERVAL '0 days 2 hours', NOW() + INTERVAL '0 days 5 hours 43 minutes', 6421.00, 180, 53),
  ('SP-1149', 'SpiceJet', 'Goa', 'Thiruvananthapuram', NOW() + INTERVAL '4 days 15 hours', NOW() + INTERVAL '4 days 18 hours 22 minutes', 6736.00, 180, 44),
  ('GO-1150', 'GoAir', 'Goa', 'Varanasi', NOW() + INTERVAL '5 days 13 hours', NOW() + INTERVAL '5 days 14 hours 36 minutes', 7392.00, 180, 69),
  ('AI-1151', 'AirAsia India', 'Goa', 'Coimbatore', NOW() + INTERVAL '5 days 13 hours', NOW() + INTERVAL '5 days 16 hours 37 minutes', 5565.00, 180, 0),
  ('ST-1152', 'Star Air', 'Goa', 'Amritsar', NOW() + INTERVAL '6 days 3 hours', NOW() + INTERVAL '6 days 5 hours 52 minutes', 4194.00, 180, 1),
  ('AK-1153', 'Akasa Air', 'Goa', 'Nagpur', NOW() + INTERVAL '6 days 4 hours', NOW() + INTERVAL '6 days 6 hours 54 minutes', 7965.00, 180, 64),
  ('GO-1154', 'GoAir', 'Kochi', 'Chandigarh', NOW() + INTERVAL '0 days 6 hours', NOW() + INTERVAL '0 days 7 hours 48 minutes', 4346.00, 180, 43),
  ('AI-1155', 'AirAsia India', 'Kochi', 'Varanasi', NOW() + INTERVAL '0 days 16 hours', NOW() + INTERVAL '0 days 17 hours 59 minutes', 6406.00, 180, 60),
  ('ST-1156', 'Star Air', 'Kochi', 'Indore', NOW() + INTERVAL '1 days 10 hours', NOW() + INTERVAL '1 days 11 hours 17 minutes', 5384.00, 180, 158),
  ('AK-1157', 'Akasa Air', 'Kochi', 'Amritsar', NOW() + INTERVAL '1 days 6 hours', NOW() + INTERVAL '1 days 8 hours 52 minutes', 4689.00, 180, 150),
  ('AI-1158', 'Air India', 'Kochi', 'Bhopal', NOW() + INTERVAL '2 days 11 hours', NOW() + INTERVAL '2 days 12 hours 17 minutes', 4997.00, 180, 47),
  ('SP-1159', 'SpiceJet', 'Kochi', 'Srinagar', NOW() + INTERVAL '2 days 14 hours', NOW() + INTERVAL '2 days 17 hours 55 minutes', 3514.00, 180, 12),
  ('GO-1160', 'GoAir', 'Kochi', 'Patna', NOW() + INTERVAL '3 days 2 hours', NOW() + INTERVAL '3 days 5 hours 48 minutes', 4677.00, 180, 31),
  ('AI-1161', 'AirAsia India', 'Kochi', 'Thiruvananthapuram', NOW() + INTERVAL '3 days 18 hours', NOW() + INTERVAL '3 days 20 hours 41 minutes', 3182.00, 180, 134),
  ('ST-1162', 'Star Air', 'Kochi', 'Varanasi', NOW() + INTERVAL '4 days 12 hours', NOW() + INTERVAL '4 days 15 hours 34 minutes', 7689.00, 180, 74),
  ('AK-1163', 'Akasa Air', 'Kochi', 'Coimbatore', NOW() + INTERVAL '4 days 19 hours', NOW() + INTERVAL '4 days 20 hours 23 minutes', 5135.00, 180, 60),
  ('AI-1164', 'Air India', 'Kochi', 'Amritsar', NOW() + INTERVAL '5 days 13 hours', NOW() + INTERVAL '5 days 14 hours 56 minutes', 7026.00, 180, 70),
  ('SP-1165', 'SpiceJet', 'Kochi', 'Nagpur', NOW() + INTERVAL '5 days 2 hours', NOW() + INTERVAL '5 days 3 hours 42 minutes', 3551.00, 180, 105),
  ('GO-1166', 'GoAir', 'Kochi', 'Srinagar', NOW() + INTERVAL '6 days 12 hours', NOW() + INTERVAL '6 days 15 hours 27 minutes', 5638.00, 180, 63),
  ('AI-1167', 'AirAsia India', 'Kochi', 'Visakhapatnam', NOW() + INTERVAL '6 days 12 hours', NOW() + INTERVAL '6 days 13 hours 36 minutes', 5966.00, 180, 13),
  ('AI-1168', 'Air India', 'Chandigarh', 'Indore', NOW() + INTERVAL '0 days 19 hours', NOW() + INTERVAL '0 days 20 hours 58 minutes', 4299.00, 180, 26),
  ('SP-1169', 'SpiceJet', 'Chandigarh', 'Amritsar', NOW() + INTERVAL '0 days 2 hours', NOW() + INTERVAL '0 days 5 hours 24 minutes', 7787.00, 180, 82),
  ('GO-1170', 'GoAir', 'Chandigarh', 'Bhopal', NOW() + INTERVAL '1 days 11 hours', NOW() + INTERVAL '1 days 13 hours 31 minutes', 6479.00, 180, 46),
  ('AI-1171', 'AirAsia India', 'Chandigarh', 'Srinagar', NOW() + INTERVAL '1 days 15 hours', NOW() + INTERVAL '1 days 16 hours 49 minutes', 5676.00, 180, 111),
  ('ST-1172', 'Star Air', 'Chandigarh', 'Patna', NOW() + INTERVAL '2 days 8 hours', NOW() + INTERVAL '2 days 10 hours 20 minutes', 6608.00, 180, 18),
  ('AK-1173', 'Akasa Air', 'Chandigarh', 'Thiruvananthapuram', NOW() + INTERVAL '2 days 16 hours', NOW() + INTERVAL '2 days 17 hours 46 minutes', 4915.00, 180, 77),
  ('AI-1174', 'Air India', 'Chandigarh', 'Varanasi', NOW() + INTERVAL '3 days 5 hours', NOW() + INTERVAL '3 days 7 hours 15 minutes', 6353.00, 180, 76),
  ('SP-1175', 'SpiceJet', 'Chandigarh', 'Coimbatore', NOW() + INTERVAL '3 days 19 hours', NOW() + INTERVAL '3 days 21 hours 21 minutes', 5490.00, 180, 28),
  ('GO-1176', 'GoAir', 'Chandigarh', 'Amritsar', NOW() + INTERVAL '4 days 21 hours', NOW() + INTERVAL '4 days 23 hours 35 minutes', 4953.00, 180, 134),
  ('AI-1177', 'AirAsia India', 'Chandigarh', 'Nagpur', NOW() + INTERVAL '4 days 19 hours', NOW() + INTERVAL '4 days 21 hours 44 minutes', 3154.00, 180, 155),
  ('ST-1178', 'Star Air', 'Chandigarh', 'Srinagar', NOW() + INTERVAL '5 days 15 hours', NOW() + INTERVAL '5 days 16 hours 15 minutes', 3230.00, 180, 31),
  ('AK-1179', 'Akasa Air', 'Chandigarh', 'Visakhapatnam', NOW() + INTERVAL '5 days 14 hours', NOW() + INTERVAL '5 days 16 hours 30 minutes', 8000.00, 180, 163),
  ('AI-1180', 'Air India', 'Chandigarh', 'Thiruvananthapuram', NOW() + INTERVAL '6 days 17 hours', NOW() + INTERVAL '6 days 18 hours 59 minutes', 6718.00, 180, 164),
  ('SP-1181', 'SpiceJet', 'Chandigarh', 'Guwahati', NOW() + INTERVAL '6 days 16 hours', NOW() + INTERVAL '6 days 18 hours 38 minutes', 6347.00, 180, 109),
  ('ST-1182', 'Star Air', 'Indore', 'Bhopal', NOW() + INTERVAL '0 days 10 hours', NOW() + INTERVAL '0 days 13 hours 21 minutes', 3365.00, 180, 91),
  ('AK-1183', 'Akasa Air', 'Indore', 'Srinagar', NOW() + INTERVAL '0 days 14 hours', NOW() + INTERVAL '0 days 16 hours 53 minutes', 6141.00, 180, 150),
  ('AI-1184', 'Air India', 'Indore', 'Patna', NOW() + INTERVAL '1 days 4 hours', NOW() + INTERVAL '1 days 5 hours 56 minutes', 7988.00, 180, 152),
  ('SP-1185', 'SpiceJet', 'Indore', 'Thiruvananthapuram', NOW() + INTERVAL '1 days 7 hours', NOW() + INTERVAL '1 days 10 hours 38 minutes', 6812.00, 180, 167),
  ('GO-1186', 'GoAir', 'Indore', 'Varanasi', NOW() + INTERVAL '2 days 13 hours', NOW() + INTERVAL '2 days 15 hours 33 minutes', 5369.00, 180, 7),
  ('AI-1187', 'AirAsia India', 'Indore', 'Coimbatore', NOW() + INTERVAL '2 days 13 hours', NOW() + INTERVAL '2 days 16 hours 43 minutes', 6574.00, 180, 166),
  ('ST-1188', 'Star Air', 'Indore', 'Amritsar', NOW() + INTERVAL '3 days 19 hours', NOW() + INTERVAL '3 days 22 hours 31 minutes', 4256.00, 180, 41),
  ('AK-1189', 'Akasa Air', 'Indore', 'Nagpur', NOW() + INTERVAL '3 days 16 hours', NOW() + INTERVAL '3 days 19 hours 31 minutes', 6832.00, 180, 0),
  ('AI-1190', 'Air India', 'Indore', 'Srinagar', NOW() + INTERVAL '4 days 3 hours', NOW() + INTERVAL '4 days 4 hours 45 minutes', 5297.00, 180, 36),
  ('SP-1191', 'SpiceJet', 'Indore', 'Visakhapatnam', NOW() + INTERVAL '4 days 14 hours', NOW() + INTERVAL '4 days 16 hours 59 minutes', 7028.00, 180, 37),
  ('GO-1192', 'GoAir', 'Indore', 'Thiruvananthapuram', NOW() + INTERVAL '5 days 7 hours', NOW() + INTERVAL '5 days 10 hours 33 minutes', 3884.00, 180, 121),
  ('AI-1193', 'AirAsia India', 'Indore', 'Guwahati', NOW() + INTERVAL '5 days 2 hours', NOW() + INTERVAL '5 days 4 hours 35 minutes', 4161.00, 180, 161),
  ('ST-1194', 'Star Air', 'Indore', 'Coimbatore', NOW() + INTERVAL '6 days 11 hours', NOW() + INTERVAL '6 days 13 hours 58 minutes', 6292.00, 180, 119),
  ('AK-1195', 'Akasa Air', 'Indore', 'Ranchi', NOW() + INTERVAL '6 days 16 hours', NOW() + INTERVAL '6 days 19 hours 51 minutes', 5472.00, 180, 7),
  ('GO-1196', 'GoAir', 'Bhopal', 'Patna', NOW() + INTERVAL '0 days 18 hours', NOW() + INTERVAL '0 days 21 hours 54 minutes', 7719.00, 180, 147),
  ('AI-1197', 'AirAsia India', 'Bhopal', 'Thiruvananthapuram', NOW() + INTERVAL '0 days 18 hours', NOW() + INTERVAL '0 days 20 hours 49 minutes', 7114.00, 180, 39),
  ('ST-1198', 'Star Air', 'Bhopal', 'Varanasi', NOW() + INTERVAL '1 days 4 hours', NOW() + INTERVAL '1 days 7 hours 19 minutes', 4958.00, 180, 23),
  ('AK-1199', 'Akasa Air', 'Bhopal', 'Coimbatore', NOW() + INTERVAL '1 days 6 hours', NOW() + INTERVAL '1 days 7 hours 35 minutes', 5774.00, 180, 63),
  ('AI-1200', 'Air India', 'Bhopal', 'Amritsar', NOW() + INTERVAL '2 days 6 hours', NOW() + INTERVAL '2 days 8 hours 20 minutes', 3694.00, 180, 72),
  ('SP-1201', 'SpiceJet', 'Bhopal', 'Nagpur', NOW() + INTERVAL '2 days 7 hours', NOW() + INTERVAL '2 days 8 hours 22 minutes', 5645.00, 180, 87),
  ('GO-1202', 'GoAir', 'Bhopal', 'Srinagar', NOW() + INTERVAL '3 days 3 hours', NOW() + INTERVAL '3 days 5 hours 36 minutes', 4580.00, 180, 105),
  ('AI-1203', 'AirAsia India', 'Bhopal', 'Visakhapatnam', NOW() + INTERVAL '3 days 19 hours', NOW() + INTERVAL '3 days 20 hours 50 minutes', 7062.00, 180, 144),
  ('ST-1204', 'Star Air', 'Bhopal', 'Thiruvananthapuram', NOW() + INTERVAL '4 days 8 hours', NOW() + INTERVAL '4 days 9 hours 36 minutes', 6224.00, 180, 179),
  ('AK-1205', 'Akasa Air', 'Bhopal', 'Guwahati', NOW() + INTERVAL '4 days 17 hours', NOW() + INTERVAL '4 days 19 hours 47 minutes', 7675.00, 180, 140),
  ('AI-1206', 'Air India', 'Bhopal', 'Coimbatore', NOW() + INTERVAL '5 days 6 hours', NOW() + INTERVAL '5 days 9 hours 32 minutes', 5616.00, 180, 129),
  ('SP-1207', 'SpiceJet', 'Bhopal', 'Ranchi', NOW() + INTERVAL '5 days 3 hours', NOW() + INTERVAL '5 days 6 hours 16 minutes', 3631.00, 180, 157),
  ('GO-1208', 'GoAir', 'Bhopal', 'Nagpur', NOW() + INTERVAL '6 days 2 hours', NOW() + INTERVAL '6 days 3 hours 52 minutes', 6373.00, 180, 158),
  ('AI-1209', 'AirAsia India', 'Bhopal', 'Mumbai', NOW() + INTERVAL '6 days 7 hours', NOW() + INTERVAL '6 days 10 hours 43 minutes', 4033.00, 180, 10),
  ('AI-1210', 'Air India', 'Patna', 'Varanasi', NOW() + INTERVAL '0 days 5 hours', NOW() + INTERVAL '0 days 6 hours 17 minutes', 7868.00, 180, 141),
  ('SP-1211', 'SpiceJet', 'Patna', 'Coimbatore', NOW() + INTERVAL '0 days 16 hours', NOW() + INTERVAL '0 days 19 hours 35 minutes', 5026.00, 180, 177),
  ('GO-1212', 'GoAir', 'Patna', 'Amritsar', NOW() + INTERVAL '1 days 13 hours', NOW() + INTERVAL '1 days 15 hours 25 minutes', 7224.00, 180, 146),
  ('AI-1213', 'AirAsia India', 'Patna', 'Nagpur', NOW() + INTERVAL '1 days 6 hours', NOW() + INTERVAL '1 days 9 hours 21 minutes', 7419.00, 180, 129),
  ('ST-1214', 'Star Air', 'Patna', 'Srinagar', NOW() + INTERVAL '2 days 21 hours', NOW() + INTERVAL '2 days 24 hours 53 minutes', 3676.00, 180, 153),
  ('AK-1215', 'Akasa Air', 'Patna', 'Visakhapatnam', NOW() + INTERVAL '2 days 9 hours', NOW() + INTERVAL '2 days 10 hours 37 minutes', 7252.00, 180, 118),
  ('AI-1216', 'Air India', 'Patna', 'Thiruvananthapuram', NOW() + INTERVAL '3 days 17 hours', NOW() + INTERVAL '3 days 18 hours 45 minutes', 6561.00, 180, 87),
  ('SP-1217', 'SpiceJet', 'Patna', 'Guwahati', NOW() + INTERVAL '3 days 6 hours', NOW() + INTERVAL '3 days 9 hours 49 minutes', 4061.00, 180, 81),
  ('GO-1218', 'GoAir', 'Patna', 'Coimbatore', NOW() + INTERVAL '4 days 8 hours', NOW() + INTERVAL '4 days 9 hours 19 minutes', 6349.00, 180, 41),
  ('AI-1219', 'AirAsia India', 'Patna', 'Ranchi', NOW() + INTERVAL '4 days 6 hours', NOW() + INTERVAL '4 days 8 hours 54 minutes', 4370.00, 180, 149),
  ('ST-1220', 'Star Air', 'Patna', 'Nagpur', NOW() + INTERVAL '5 days 6 hours', NOW() + INTERVAL '5 days 7 hours 37 minutes', 5351.00, 180, 50),
  ('AK-1221', 'Akasa Air', 'Patna', 'Mumbai', NOW() + INTERVAL '5 days 19 hours', NOW() + INTERVAL '5 days 22 hours 28 minutes', 6568.00, 180, 119),
  ('AI-1222', 'Air India', 'Patna', 'Visakhapatnam', NOW() + INTERVAL '6 days 4 hours', NOW() + INTERVAL '6 days 5 hours 22 minutes', 6072.00, 180, 136),
  ('SP-1223', 'SpiceJet', 'Patna', 'Delhi', NOW() + INTERVAL '6 days 20 hours', NOW() + INTERVAL '6 days 22 hours 24 minutes', 3851.00, 180, 16),
  ('ST-1224', 'Star Air', 'Varanasi', 'Amritsar', NOW() + INTERVAL '0 days 6 hours', NOW() + INTERVAL '0 days 8 hours 20 minutes', 3061.00, 180, 118),
  ('AK-1225', 'Akasa Air', 'Varanasi', 'Nagpur', NOW() + INTERVAL '0 days 4 hours', NOW() + INTERVAL '0 days 5 hours 49 minutes', 3566.00, 180, 89),
  ('AI-1226', 'Air India', 'Varanasi', 'Srinagar', NOW() + INTERVAL '1 days 10 hours', NOW() + INTERVAL '1 days 12 hours 51 minutes', 5873.00, 180, 33),
  ('SP-1227', 'SpiceJet', 'Varanasi', 'Visakhapatnam', NOW() + INTERVAL '1 days 7 hours', NOW() + INTERVAL '1 days 8 hours 36 minutes', 6411.00, 180, 75),
  ('GO-1228', 'GoAir', 'Varanasi', 'Thiruvananthapuram', NOW() + INTERVAL '2 days 6 hours', NOW() + INTERVAL '2 days 9 hours 17 minutes', 5907.00, 180, 100),
  ('AI-1229', 'AirAsia India', 'Varanasi', 'Guwahati', NOW() + INTERVAL '2 days 11 hours', NOW() + INTERVAL '2 days 12 hours 44 minutes', 6740.00, 180, 4),
  ('ST-1230', 'Star Air', 'Varanasi', 'Coimbatore', NOW() + INTERVAL '3 days 19 hours', NOW() + INTERVAL '3 days 21 hours 55 minutes', 4762.00, 180, 98),
  ('AK-1231', 'Akasa Air', 'Varanasi', 'Ranchi', NOW() + INTERVAL '3 days 7 hours', NOW() + INTERVAL '3 days 10 hours 40 minutes', 4645.00, 180, 158),
  ('AI-1232', 'Air India', 'Varanasi', 'Nagpur', NOW() + INTERVAL '4 days 10 hours', NOW() + INTERVAL '4 days 13 hours 50 minutes', 4901.00, 180, 174),
  ('SP-1233', 'SpiceJet', 'Varanasi', 'Mumbai', NOW() + INTERVAL '4 days 11 hours', NOW() + INTERVAL '4 days 12 hours 20 minutes', 5519.00, 180, 77),
  ('GO-1234', 'GoAir', 'Varanasi', 'Visakhapatnam', NOW() + INTERVAL '5 days 9 hours', NOW() + INTERVAL '5 days 10 hours 29 minutes', 4834.00, 180, 150),
  ('AI-1235', 'AirAsia India', 'Varanasi', 'Delhi', NOW() + INTERVAL '5 days 3 hours', NOW() + INTERVAL '5 days 5 hours 42 minutes', 6088.00, 180, 39),
  ('ST-1236', 'Star Air', 'Varanasi', 'Guwahati', NOW() + INTERVAL '6 days 19 hours', NOW() + INTERVAL '6 days 20 hours 33 minutes', 6152.00, 180, 114),
  ('AK-1237', 'Akasa Air', 'Varanasi', 'Bangalore', NOW() + INTERVAL '6 days 5 hours', NOW() + INTERVAL '6 days 7 hours 17 minutes', 6675.00, 180, 56),
  ('GO-1238', 'GoAir', 'Amritsar', 'Srinagar', NOW() + INTERVAL '0 days 12 hours', NOW() + INTERVAL '0 days 14 hours 38 minutes', 5606.00, 180, 16),
  ('AI-1239', 'AirAsia India', 'Amritsar', 'Visakhapatnam', NOW() + INTERVAL '0 days 10 hours', NOW() + INTERVAL '0 days 13 hours 26 minutes', 3619.00, 180, 19),
  ('ST-1240', 'Star Air', 'Amritsar', 'Thiruvananthapuram', NOW() + INTERVAL '1 days 6 hours', NOW() + INTERVAL '1 days 9 hours 24 minutes', 5371.00, 180, 61),
  ('AK-1241', 'Akasa Air', 'Amritsar', 'Guwahati', NOW() + INTERVAL '1 days 11 hours', NOW() + INTERVAL '1 days 13 hours 52 minutes', 5126.00, 180, 82),
  ('AI-1242', 'Air India', 'Amritsar', 'Coimbatore', NOW() + INTERVAL '2 days 16 hours', NOW() + INTERVAL '2 days 19 hours 17 minutes', 3360.00, 180, 110),
  ('SP-1243', 'SpiceJet', 'Amritsar', 'Ranchi', NOW() + INTERVAL '2 days 11 hours', NOW() + INTERVAL '2 days 12 hours 18 minutes', 6388.00, 180, 32),
  ('GO-1244', 'GoAir', 'Amritsar', 'Nagpur', NOW() + INTERVAL '3 days 11 hours', NOW() + INTERVAL '3 days 13 hours 45 minutes', 6700.00, 180, 116),
  ('AI-1245', 'AirAsia India', 'Amritsar', 'Mumbai', NOW() + INTERVAL '3 days 15 hours', NOW() + INTERVAL '3 days 17 hours 21 minutes', 4323.00, 180, 113),
  ('ST-1246', 'Star Air', 'Amritsar', 'Visakhapatnam', NOW() + INTERVAL '4 days 6 hours', NOW() + INTERVAL '4 days 7 hours 55 minutes', 6413.00, 180, 105),
  ('AK-1247', 'Akasa Air', 'Amritsar', 'Delhi', NOW() + INTERVAL '4 days 7 hours', NOW() + INTERVAL '4 days 9 hours 18 minutes', 5996.00, 180, 51),
  ('AI-1248', 'Air India', 'Amritsar', 'Guwahati', NOW() + INTERVAL '5 days 18 hours', NOW() + INTERVAL '5 days 20 hours 37 minutes', 7459.00, 180, 13),
  ('SP-1249', 'SpiceJet', 'Amritsar', 'Bangalore', NOW() + INTERVAL '5 days 21 hours', NOW() + INTERVAL '5 days 22 hours 22 minutes', 4474.00, 180, 168),
  ('GO-1250', 'GoAir', 'Amritsar', 'Ranchi', NOW() + INTERVAL '6 days 3 hours', NOW() + INTERVAL '6 days 6 hours 38 minutes', 6725.00, 180, 119),
  ('AI-1251', 'AirAsia India', 'Amritsar', 'Hyderabad', NOW() + INTERVAL '6 days 6 hours', NOW() + INTERVAL '6 days 9 hours 54 minutes', 3014.00, 180, 67),
  ('AI-1252', 'Air India', 'Srinagar', 'Thiruvananthapuram', NOW() + INTERVAL '0 days 4 hours', NOW() + INTERVAL '0 days 7 hours 57 minutes', 4705.00, 180, 162),
  ('SP-1253', 'SpiceJet', 'Srinagar', 'Guwahati', NOW() + INTERVAL '0 days 16 hours', NOW() + INTERVAL '0 days 18 hours 28 minutes', 6237.00, 180, 8),
  ('GO-1254', 'GoAir', 'Srinagar', 'Coimbatore', NOW() + INTERVAL '1 days 11 hours', NOW() + INTERVAL '1 days 12 hours 19 minutes', 4274.00, 180, 122),
  ('AI-1255', 'AirAsia India', 'Srinagar', 'Ranchi', NOW() + INTERVAL '1 days 15 hours', NOW() + INTERVAL '1 days 18 hours 30 minutes', 4132.00, 180, 145),
  ('ST-1256', 'Star Air', 'Srinagar', 'Nagpur', NOW() + INTERVAL '2 days 9 hours', NOW() + INTERVAL '2 days 10 hours 29 minutes', 3750.00, 180, 110),
  ('AK-1257', 'Akasa Air', 'Srinagar', 'Mumbai', NOW() + INTERVAL '2 days 15 hours', NOW() + INTERVAL '2 days 16 hours 53 minutes', 4403.00, 180, 134),
  ('AI-1258', 'Air India', 'Srinagar', 'Visakhapatnam', NOW() + INTERVAL '3 days 8 hours', NOW() + INTERVAL '3 days 10 hours 19 minutes', 5939.00, 180, 170),
  ('SP-1259', 'SpiceJet', 'Srinagar', 'Delhi', NOW() + INTERVAL '3 days 20 hours', NOW() + INTERVAL '3 days 21 hours 37 minutes', 6640.00, 180, 64),
  ('GO-1260', 'GoAir', 'Srinagar', 'Guwahati', NOW() + INTERVAL '4 days 3 hours', NOW() + INTERVAL '4 days 6 hours 22 minutes', 5464.00, 180, 119),
  ('AI-1261', 'AirAsia India', 'Srinagar', 'Bangalore', NOW() + INTERVAL '4 days 10 hours', NOW() + INTERVAL '4 days 13 hours 47 minutes', 5388.00, 180, 23),
  ('ST-1262', 'Star Air', 'Srinagar', 'Ranchi', NOW() + INTERVAL '5 days 7 hours', NOW() + INTERVAL '5 days 10 hours 58 minutes', 4431.00, 180, 120),
  ('AK-1263', 'Akasa Air', 'Srinagar', 'Hyderabad', NOW() + INTERVAL '5 days 11 hours', NOW() + INTERVAL '5 days 14 hours 31 minutes', 3191.00, 180, 103),
  ('AI-1264', 'Air India', 'Srinagar', 'Mumbai', NOW() + INTERVAL '6 days 4 hours', NOW() + INTERVAL '6 days 7 hours 53 minutes', 6355.00, 180, 175),
  ('SP-1265', 'SpiceJet', 'Srinagar', 'Chennai', NOW() + INTERVAL '6 days 9 hours', NOW() + INTERVAL '6 days 11 hours 27 minutes', 6182.00, 180, 6),
  ('ST-1266', 'Star Air', 'Thiruvananthapuram', 'Coimbatore', NOW() + INTERVAL '0 days 9 hours', NOW() + INTERVAL '0 days 10 hours 27 minutes', 3870.00, 180, 119),
  ('AK-1267', 'Akasa Air', 'Thiruvananthapuram', 'Ranchi', NOW() + INTERVAL '0 days 19 hours', NOW() + INTERVAL '0 days 21 hours 57 minutes', 6563.00, 180, 10),
  ('AI-1268', 'Air India', 'Thiruvananthapuram', 'Nagpur', NOW() + INTERVAL '1 days 12 hours', NOW() + INTERVAL '1 days 15 hours 35 minutes', 6863.00, 180, 98),
  ('SP-1269', 'SpiceJet', 'Thiruvananthapuram', 'Mumbai', NOW() + INTERVAL '1 days 9 hours', NOW() + INTERVAL '1 days 12 hours 20 minutes', 7840.00, 180, 151),
  ('GO-1270', 'GoAir', 'Thiruvananthapuram', 'Visakhapatnam', NOW() + INTERVAL '2 days 13 hours', NOW() + INTERVAL '2 days 14 hours 19 minutes', 3947.00, 180, 131),
  ('AI-1271', 'AirAsia India', 'Thiruvananthapuram', 'Delhi', NOW() + INTERVAL '2 days 8 hours', NOW() + INTERVAL '2 days 9 hours 30 minutes', 3488.00, 180, 29),
  ('ST-1272', 'Star Air', 'Thiruvananthapuram', 'Guwahati', NOW() + INTERVAL '3 days 8 hours', NOW() + INTERVAL '3 days 9 hours 49 minutes', 7342.00, 180, 133),
  ('AK-1273', 'Akasa Air', 'Thiruvananthapuram', 'Bangalore', NOW() + INTERVAL '3 days 7 hours', NOW() + INTERVAL '3 days 8 hours 46 minutes', 6761.00, 180, 87),
  ('AI-1274', 'Air India', 'Thiruvananthapuram', 'Ranchi', NOW() + INTERVAL '4 days 12 hours', NOW() + INTERVAL '4 days 15 hours 31 minutes', 3120.00, 180, 139),
  ('SP-1275', 'SpiceJet', 'Thiruvananthapuram', 'Hyderabad', NOW() + INTERVAL '4 days 10 hours', NOW() + INTERVAL '4 days 13 hours 58 minutes', 4330.00, 180, 77),
  ('GO-1276', 'GoAir', 'Thiruvananthapuram', 'Mumbai', NOW() + INTERVAL '5 days 12 hours', NOW() + INTERVAL '5 days 13 hours 55 minutes', 4990.00, 180, 144),
  ('AI-1277', 'AirAsia India', 'Thiruvananthapuram', 'Chennai', NOW() + INTERVAL '5 days 13 hours', NOW() + INTERVAL '5 days 15 hours 58 minutes', 4148.00, 180, 44),
  ('ST-1278', 'Star Air', 'Thiruvananthapuram', 'Delhi', NOW() + INTERVAL '6 days 12 hours', NOW() + INTERVAL '6 days 14 hours 32 minutes', 6685.00, 180, 15),
  ('AK-1279', 'Akasa Air', 'Thiruvananthapuram', 'Kolkata', NOW() + INTERVAL '6 days 21 hours', NOW() + INTERVAL '6 days 22 hours 17 minutes', 5654.00, 180, 36),
  ('GO-1280', 'GoAir', 'Coimbatore', 'Nagpur', NOW() + INTERVAL '0 days 12 hours', NOW() + INTERVAL '0 days 13 hours 37 minutes', 3450.00, 180, 129),
  ('AI-1281', 'AirAsia India', 'Coimbatore', 'Mumbai', NOW() + INTERVAL '0 days 15 hours', NOW() + INTERVAL '0 days 18 hours 43 minutes', 5541.00, 180, 119),
  ('ST-1282', 'Star Air', 'Coimbatore', 'Visakhapatnam', NOW() + INTERVAL '1 days 13 hours', NOW() + INTERVAL '1 days 14 hours 17 minutes', 7573.00, 180, 167),
  ('AK-1283', 'Akasa Air', 'Coimbatore', 'Delhi', NOW() + INTERVAL '1 days 4 hours', NOW() + INTERVAL '1 days 5 hours 38 minutes', 6361.00, 180, 16),
  ('AI-1284', 'Air India', 'Coimbatore', 'Guwahati', NOW() + INTERVAL '2 days 15 hours', NOW() + INTERVAL '2 days 18 hours 36 minutes', 6897.00, 180, 135),
  ('SP-1285', 'SpiceJet', 'Coimbatore', 'Bangalore', NOW() + INTERVAL '2 days 17 hours', NOW() + INTERVAL '2 days 19 hours 16 minutes', 3081.00, 180, 33),
  ('GO-1286', 'GoAir', 'Coimbatore', 'Ranchi', NOW() + INTERVAL '3 days 12 hours', NOW() + INTERVAL '3 days 13 hours 15 minutes', 5793.00, 180, 35),
  ('AI-1287', 'AirAsia India', 'Coimbatore', 'Hyderabad', NOW() + INTERVAL '3 days 15 hours', NOW() + INTERVAL '3 days 17 hours 44 minutes', 4130.00, 180, 90),
  ('ST-1288', 'Star Air', 'Coimbatore', 'Mumbai', NOW() + INTERVAL '4 days 9 hours', NOW() + INTERVAL '4 days 12 hours 54 minutes', 6943.00, 180, 25),
  ('AK-1289', 'Akasa Air', 'Coimbatore', 'Chennai', NOW() + INTERVAL '4 days 12 hours', NOW() + INTERVAL '4 days 14 hours 20 minutes', 5458.00, 180, 105),
  ('AI-1290', 'Air India', 'Coimbatore', 'Delhi', NOW() + INTERVAL '5 days 9 hours', NOW() + INTERVAL '5 days 10 hours 24 minutes', 4080.00, 180, 170),
  ('SP-1291', 'SpiceJet', 'Coimbatore', 'Kolkata', NOW() + INTERVAL '5 days 5 hours', NOW() + INTERVAL '5 days 8 hours 53 minutes', 5587.00, 180, 125),
  ('GO-1292', 'GoAir', 'Coimbatore', 'Bangalore', NOW() + INTERVAL '6 days 21 hours', NOW() + INTERVAL '6 days 23 hours 16 minutes', 3032.00, 180, 44),
  ('AI-1293', 'AirAsia India', 'Coimbatore', 'Pune', NOW() + INTERVAL '6 days 17 hours', NOW() + INTERVAL '6 days 19 hours 33 minutes', 3450.00, 180, 103),
  ('AI-1294', 'Air India', 'Nagpur', 'Visakhapatnam', NOW() + INTERVAL '0 days 5 hours', NOW() + INTERVAL '0 days 8 hours 16 minutes', 6494.00, 180, 36),
  ('SP-1295', 'SpiceJet', 'Nagpur', 'Delhi', NOW() + INTERVAL '0 days 17 hours', NOW() + INTERVAL '0 days 20 hours 16 minutes', 5524.00, 180, 4),
